epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,185.983,0.7379,1.06416,1.03947,0.71046,0.556,0.63597,0.35899,1.52807,1.59839,1.58473,0.005644,0.005644,0.005644
90,188.014,0.72433,1.04192,1.01658,0.62956,0.65804,0.6288,0.34218,1.60914,1.61667,1.68424,0.0055945,0.0055945,0.0055945
91,190.091,0.73785,1.0293,1.04521,0.62956,0.65804,0.6288,0.34218,1.60914,1.61667,1.68424,0.005545,0.005545,0.005545
92,192.142,0.70009,1.03872,1.00796,0.64891,0.61947,0.61636,0.35456,1.51431,1.64572,1.57702,0.0054955,0.0054955,0.0054955
93,194.168,0.6845,1.07131,0.99253,0.67085,0.59563,0.60461,0.34142,1.54455,1.64103,1.61358,0.005446,0.005446,0.005446
94,196.15,0.74107,1.06939,1.04835,0.65895,0.55936,0.59855,0.34224,1.51853,1.67575,1.60776,0.0053965,0.0053965,0.0053965
95,198.294,0.72361,1.02253,1.00393,0.61118,0.58717,0.60351,0.34663,1.53654,1.63265,1.61437,0.005347,0.005347,0.005347
96,200.318,0.68202,0.96007,0.97786,0.60799,0.54095,0.59171,0.33855,1.56933,1.61558,1.67526,0.0052975,0.0052975,0.0052975
97,202.351,0.68456,0.99727,1.01288,0.57263,0.59099,0.60001,0.3379,1.57993,1.60718,1.67311,0.005248,0.005248,0.005248
98,204.383,0.6821,0.9977,1.02676,0.55,0.6089,0.60097,0.3508,1.55667,1.60393,1.64956,0.0051985,0.0051985,0.0051985
99,206.368,0.65322,0.91388,0.9681,0.57165,0.59036,0.60606,0.33034,1.62094,1.61552,1.70299,0.005149,0.005149,0.005149
100,208.471,0.65897,0.98334,1.01063,0.59368,0.57759,0.59931,0.33198,1.60929,1.6,1.68583,0.0050995,0.0050995,0.0050995
101,210.591,0.68261,0.97783,1.01739,0.56376,0.62985,0.59875,0.33687,1.57351,1.64291,1.64678,0.00505,0.00505,0.00505
102,212.664,0.66542,0.97009,0.97853,0.56149,0.58845,0.56629,0.29319,1.71095,1.73985,1.78007,0.0050005,0.0050005,0.0050005
103,214.784,0.70166,1.04012,0.98421,0.65848,0.53396,0.59616,0.3365,1.56474,1.65079,1.66104,0.004951,0.004951,0.004951
104,216.784,0.68674,0.92614,1.00136,0.65864,0.56894,0.6053,0.31613,1.66158,1.6285,1.7549,0.0049015,0.0049015,0.0049015
105,218.769,0.66076,0.95123,0.98712,0.58809,0.5825,0.58776,0.3233,1.5948,1.64267,1.65784,0.004852,0.004852,0.004852
106,220.708,0.67217,0.93636,0.99922,0.5935,0.55444,0.58709,0.32656,1.58816,1.61126,1.65674,0.0048025,0.0048025,0.0048025
107,222.727,0.68218,0.92753,0.96648,0.5935,0.55444,0.58709,0.32656,1.58816,1.61126,1.65674,0.004753,0.004753,0.004753
108,224.843,0.63665,0.93699,0.98977,0.61111,0.57754,0.60439,0.33796,1.59137,1.56037,1.66475,0.0047035,0.0047035,0.0047035
109,227.033,0.64471,0.90931,0.97583,0.54054,0.63535,0.60675,0.35051,1.54606,1.53739,1.6239,0.004654,0.004654,0.004654
110,229.049,0.67751,0.89639,0.98209,0.588,0.56812,0.60685,0.3296,1.64387,1.58908,1.71464,0.0046045,0.0046045,0.0046045
